INDICATOR,Date,Value
Prime Lending Rate Of Commercial Banks,2018-06-01,16.78
Savings Rate,2018-07-01,4.07
Prime Lending Rate Of Commercial Banks,2018-07-01,16.83
Savings Rate,2018-08-01,4.07
Prime Lending Rate Of Commercial Banks,2018-08-01,16.65
Savings Rate,2018-09-01,4.07
Prime Lending Rate Of Commercial Banks,2018-09-01,16.59
Savings Rate,2018-10-01,4.07
Prime Lending Rate Of Commercial Banks,2018-10-01,16.53
Savings Rate,2018-11-01,4.07
Prime Lending Rate Of Commercial Banks,2018-11-01,16.64
Savings Rate,2018-12-01,4.07
Prime Lending Rate Of Commercial Banks,2018-12-01,16.17
Savings Rate,2019-01-01,4.07
Prime Lending Rate Of Commercial Banks,2019-01-01,16.01
Savings Rate,2019-02-01,4.07
Prime Lending Rate Of Commercial Banks,2019-02-01,16.08
Savings Rate,2019-03-01,3.97
Prime Lending Rate Of Commercial Banks,2019-03-01,14.92
Savings Rate,2019-04-01,3.91
Prime Lending Rate Of Commercial Banks,2019-04-01,18.23
Savings Rate,2019-05-01,3.91
Prime Lending Rate Of Commercial Banks,2019-05-01,15.33
Savings Rate,2019-06-01,3.93
Prime Lending Rate Of Commercial Banks,2019-06-01,15.8
Savings Rate,2019-07-01,3.93
Prime Lending Rate Of Commercial Banks,2019-07-01,15.46
Savings Rate,2019-08-01,3.93
Prime Lending Rate Of Commercial Banks,2019-08-01,15.4
Savings Rate,2019-09-01,3.93
Prime Lending Rate Of Commercial Banks,2019-09-01,15.15
Savings Rate,2019-10-01,3.93
Prime Lending Rate Of Commercial Banks,2019-10-01,15.07
Savings Rate,2019-11-01,3.93
Prime Lending Rate Of Commercial Banks,2019-11-01,14.91
Savings Rate,2019-12-01,3.89
Prime Lending Rate Of Commercial Banks,2019-12-01,14.99
Savings Rate,2020-01-01,3.89
Prime Lending Rate Of Commercial Banks,2020-01-01,13.65
Savings Rate,2020-02-01,3.89
Prime Lending Rate Of Commercial Banks,2020-02-01,13.43
Savings Rate,2020-03-01,3.89
Prime Lending Rate Of Commercial Banks,2020-03-01,12.7
Savings Rate,2020-04-01,3.69
Prime Lending Rate Of Commercial Banks,2020-04-01,12.58
Savings Rate,2020-05-01,3.83
Prime Lending Rate Of Commercial Banks,2020-05-01,12.47
Savings Rate,2020-06-01,3.78
Prime Lending Rate Of Commercial Banks,2020-06-01,12.22
Savings Rate,2020-07-01,3.78
Prime Lending Rate Of Commercial Banks,2020-07-01,12.1
Savings Rate,2020-08-01,3.78
Prime Lending Rate Of Commercial Banks,2020-08-01,11.79
Savings Rate,2020-09-01,2.41
Prime Lending Rate Of Commercial Banks,2020-09-01,11.55
Savings Rate,2020-10-01,1.87
Prime Lending Rate Of Commercial Banks,2020-10-01,11.31
Savings Rate,2020-11-01,1.84
Prime Lending Rate Of Commercial Banks,2020-11-01,11.6
Savings Rate,2020-12-01,2.04
Prime Lending Rate Of Commercial Banks,2020-12-01,11.35
Savings Rate,2021-01-01,1.86
Prime Lending Rate Of Commercial Banks,2021-01-01,11.25
Savings Rate,2021-02-01,1.79
Prime Lending Rate Of Commercial Banks,2021-02-01,11.21
Savings Rate,2021-03-01,1.86
Prime Lending Rate Of Commercial Banks,2021-03-01,11.13
Savings Rate,2021-04-01,1.86
Prime Lending Rate Of Commercial Banks,2021-04-01,11.24
Savings Rate,2021-05-01,1.83
Prime Lending Rate Of Commercial Banks,2021-05-01,11.29
Savings Rate,2021-06-01,1.81
Prime Lending Rate Of Commercial Banks,2021-06-01,11.67
Savings Rate,2021-07-01,1.82
Prime Lending Rate Of Commercial Banks,2021-07-01,11.57
Savings Rate,2021-08-01,1.82
Prime Lending Rate Of Commercial Banks,2021-08-01,11.62
Savings Rate,2021-09-01,1.28
Prime Lending Rate Of Commercial Banks,2021-09-01,11.73
Savings Rate,2021-10-01,1.28
Prime Lending Rate Of Commercial Banks,2021-10-01,11.61
Savings Rate,2021-11-01,1.83
Prime Lending Rate Of Commercial Banks,2021-11-01,11.8
Savings Rate,2021-12-01,1.25
Prime Lending Rate Of Commercial Banks,2021-12-01,11.68
Savings Rate,2022-01-01,1.25
Prime Lending Rate Of Commercial Banks,2022-01-01,11.68
Savings Rate,2022-02-01,1.25
Prime Lending Rate Of Commercial Banks,2022-02-01,11.78
Savings Rate,2022-03-01,1.28
Prime Lending Rate Of Commercial Banks,2022-03-01,11.84
Savings Rate,2022-04-01,1.28
Prime Lending Rate Of Commercial Banks,2022-04-01,11.83
Savings Rate,2022-05-01,1.37
Prime Lending Rate Of Commercial Banks,2022-05-01,11.96
Savings Rate,2022-06-01,1.38
Prime Lending Rate Of Commercial Banks,2022-06-01,12.29
Savings Rate,2022-07-01,1.42
Prime Lending Rate Of Commercial Banks,2022-07-01,12.1
Savings Rate,2022-08-01,2.93
Prime Lending Rate Of Commercial Banks,2022-08-01,12.23
Savings Rate,2022-09-01,4.08
Prime Lending Rate Of Commercial Banks,2022-09-01,12.23
Savings Rate,2022-10-01,3.77
Prime Lending Rate Of Commercial Banks,2022-10-01,12.23
Savings Rate,2022-11-01,3.93
Prime Lending Rate Of Commercial Banks,2022-11-01,13.17
Savings Rate,2023-01-01,4.29
Prime Lending Rate Of Commercial Banks,2023-01-01,13.67
Savings Rate,2023-02-01,4.3
Prime Lending Rate Of Commercial Banks,2023-02-01,13.62
Savings Rate,2023-03-01,4.58
Prime Lending Rate Of Commercial Banks,2023-03-01,13.97
Savings Rate,2023-04-01,4.59
Prime Lending Rate Of Commercial Banks,2023-04-01,14.05
Savings Rate,2023-05-01,5.13
Prime Lending Rate Of Commercial Banks,2023-05-01,14.07
Savings Rate,2023-06-01,5.18
Prime Lending Rate Of Commercial Banks,2023-06-01,13.85
Savings Rate,2023-07-01,5.24
Prime Lending Rate Of Commercial Banks,2023-07-01,13.98
Savings Rate,2023-08-01,5.26
Prime Lending Rate Of Commercial Banks,2023-08-01,13.99
Savings Rate,2023-09-01,5.26
